type	url	detail
hors_perimetre	https://www.rts.ch/content/incoming/7602291-professionnel-des-17-ans-a-l-ajax-cruyff-s-imposa-avec-le-numero-14-dans-le-dos-numero-reste-mythique-.html	https://img.rts.ch/articles/2016/image/8nz6cf-27812871.image
hors_perimetre	https://www.rts.ch/content/incoming/7607134-mayer.html	https://img.rts.ch/articles/2016/image/k4azen-27809454.image
hors_perimetre	https://www.rts.ch/content/incoming/7631889-la-suisse-avait-besoin-d-un-miracle-pour-rester-dans-la-course-aux-playoffs-.html	https://img.rts.ch/articles/2016/image/ukrew3-27813306.image
hors_perimetre	https://www.rts.ch/content/incoming/7632400-les-debats-ont-ete-electriques-lors-de-cet-acte-3-a-la-resega-.html	https://img.rts.ch/articles/2016/image/x56y1s-27811691.image
hors_perimetre	https://www.rts.ch/content/incoming/8433203-un-magasin-de-vente-de-marijuana-aux-etats-unis-.html	https://img.rts.ch/info/regions/berne/2017/image/ru2byc-27788500.image
hors_perimetre	https://www.rts.ch/content/incoming/8529868-la-flotte-qui-comprend-le-porte-avions-uss-carl-vinson-partira-de-singapour-et-rejoindra-la-region-de-la-peninsule-coreenne-.html	https://img.rts.ch/articles/2017/image/vkhliz-27786274.image
hors_perimetre	https://www.rts.ch/content/incoming/8609623-le-premier-hug-pour-samuel-le-batteur-de-timebelle-sous-l-oeil-de-la-camera-de-srf-.html	https://img.rts.ch/articles/2017/image/7lfsp1-27784100.image
hors_perimetre	https://www.rts.ch/content/incoming/8609624-c-est-jour-de-fete-en-ukraine-on-en-profite-pour-faire-sa-pub-.html	https://img.rts.ch/articles/2017/image/5zekzb-27784102.image
hors_perimetre	https://www.rts.ch/content/incoming/8609625-no-comment-.html	https://img.rts.ch/articles/2017/image/b92tje-27784099.image
hors_perimetre	https://www.rts.ch/content/incoming/8609626-les-passants-sont-heureux-de-profiter-de-l-occasion-.html	https://img.rts.ch/articles/2017/image/ymc7b1-27784104.image
hors_perimetre	https://www.rts.ch/content/incoming/8609627-en-plus-des-free-hugs-certains-ont-meme-droit-a-des-autographes-.html	https://img.rts.ch/articles/2017/image/nu6xvn-27784101.image
hors_perimetre	https://www.rts.ch/content/incoming/8692327-le-renault-blanche-utilisee-par-les-terroristes-lors-de-l-attaque-du-3-juin-a-londres-.html	https://img.rts.ch/articles/2017/image/hqrhfw-27787737.image
hors_perimetre	https://www.rts.ch/culture/6749432-le-script-du-film-d-animation-ma-vie-de-courgette-.html	https://img.rts.ch/articles/2015/image/gmho7h-27835739.image
hors_perimetre	https://www.rts.ch/datak/	https://www.datak.ch
hors_perimetre	https://www.rts.ch/e/500.html	https://img.rts.ch/medias/2009/image/k7irpm-26337012.image
hors_perimetre	https://www.rts.ch/medias/images/2166081-de-plus-en-plus-de-personnes-agees-ont-perdu-le-gout-de-vivre-.html	https://img.rts.ch/audio/2009/image/k76hhm-27912728.image
hors_perimetre	https://www.rts.ch/medias/images/afp/7675325-en-1997-christoph-meili-alors-veilleur-de-nuit-chez-ubs-decouvre-que-la-banque-detruit-des-dossiers-relatifs-aux-fonds-juifs-en-desherence-les-autorites-zurichoises-emettent-a-son-encontre-un-mandat-d-arret-pour-infraction-a-la-loi-sur-le-secret-bancaire-christoph-meili-fuit-aux-etats-unis-ou-il-obtient-l-asile-politique-le-mandat-d-arret-est-finalement-annule-mais-l-ex-gardien-ne-revient-s-installer-en-suisse-qu-en-2009-ses-revelations-ont-ete-suivies-de-plusieurs-annees-de-galere-entre-chomage-et-difficultes-financieres-malgre-les-325-000-francs-recus-en-2003-pour-sa-contribution-a-la-restitution-des-fonds-en-desherence-.html	https://img.rts.ch/articles/2016/image/5x9cz8-27807778.image
hors_perimetre	https://www.rts.ch/medias/images/afp/8633183-donald-trump-dans-la-tourmente-depuis-une-semaine-.html	https://img.rts.ch/articles/2017/image/nrbhxs-26013790.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/3618094-laurent-kurth-conseiller-communal-de-la-chaux-de-fonds-.html	https://img.rts.ch/articles/2011/image/1avwce-26098726.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/4768828-les-cadres-romands-de-tamedia-montent-au-front-.html	https://img.rts.ch/articles/2013/image/gpccaa-26084196.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/5165198-de-nombreux-frontaliers-arrivent-dans-le-canton-de-vaud-via-la-douane-de-bardonnex-a-geneve-.html	https://img.rts.ch/articles/2013/image/vv10on-25941347.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/5297673-pierre-maudet-plr-1er-du-premier-tour-ce-politicien-ne-en-1978-marie-et-pere-de-trois-enfants-a-participe-a-la-creation-du-parlement-des-jeunes-a-15-ans-puis-a-ete-elu-conseiller-municipal-en-ville-de-geneve-a-21-ans-ancien-president-du-plr-cantonal-et-detenteur-d-un-master-en-droit-il-est-elu-au-conseil-administratif-de-la-ville-de-geneve-en-2007-puis-reelu-en-2011-devenant-maire-de-geneve-le-17-juin-2012-il-accede-au-conseil-d-etat-lors-d-une-complementaire-ayant-suivi-la-demission-de-son-collegue-mark-muller-il-dirige-le-departement-de-la-securite-.html	https://img.rts.ch/articles/2013/image/r98vky-26070285.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/7547704-martin-fourcade-est-parti-pour-realiser-une-belle-moisson-a-oslo-.html	https://img.rts.ch/articles/2016/image/6ya0b3-27816324.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/7549963-kristoffersen-a-gauche-et-hirscher-au-centre-sont-aux-anges-.html	https://img.rts.ch/articles/2016/image/vyjzmq-27810504.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/7550067-un-4e-podium-pour-wendy-holdener-cet-hiver-.html	https://img.rts.ch/articles/2016/image/ty7csq-27810303.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/8380015-une-nouvelle-liaison-directe-entre-berne-et-le-locle-via-neuchatel-pourrait-voir-le-jour-.html	https://img.rts.ch/articles/2017/image/kn41fw-27789766.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/8380975-une-habitante-du-village-grison-d-obersaxen-meierhof-depose-son-bulletin-de-vote-dans-l-urne-a-cote-de-l-eglise-du-village-.html	https://img.rts.ch/articles/2017/image/bmtg92-25916767.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/8614274-la-chanteuse-miruna-manescua-du-groupe-bernois-timebelle-durant-les-repetitions-de-la-demi-finale-de-l-eurovision-a-kiev-le-10-mai-2017-.html	https://img.rts.ch/articles/2017/image/aexa3w-27785918.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/8678216-donald-trump-lors-d-un-gala-a-washington-ce-4-juin-2017-.html	https://img.rts.ch/articles/2017/image/rl9jd5-27786131.image
hors_perimetre	https://www.rts.ch/medias/images/keystone/8678536-jeremy-corbyn-en-campagne-electorale-ce-lundi-5-juin-2017-a-carlisle-en-angleterre-.html	https://img.rts.ch/articles/2017/image/ohxu1h-26013924.image
hors_perimetre	https://www.rts.ch/medias/images/reuters/8679066-des-troupes-israeliennes-convergent-vers-rafah-au-sud-de-la-bande-de-gaza-durant-la-guerre-des-six-jours-.html	https://img.rts.ch/articles/2017/image/xq1yxo-27442455.image
hors_perimetre	https://www.rts.ch/medias/images/reuters/8679377-le-president-francais-emmanuel-macron-devant-ses-supporters-le-3-juin-2017-.html	https://img.rts.ch/articles/2017/image/urw6mf-27787922.image
hors_perimetre	https://www.rts.ch/medias/images/rts/3926776-maria-mettral.html	https://img.rts.ch/articles/2012/image/2dl7hj-27502724.image
hors_perimetre	https://www.rts.ch/medias/images/rts/8609621-calins-gratuits-distribuees-par-les-musiciens-de-timebelle-dans-les-rues-de-kiev-contre-la-promesse-d-un-vote-pour-la-suisse-jeudi-.html	https://img.rts.ch/articles/2017/image/1kpxhb-27784107.image
hors_perimetre	https://www.rts.ch/medias/images/rts/8618878-dans-le-vieux-kiev-il-y-a-plein-de-petites-cahutes-qui-servent-de-la-nourriture-ukrainienne-.html	https://img.rts.ch/articles/2017/image/3tjya5-27785654.image
trop_long	https://www.rts.ch/info/sciences-tech/8909231-arrivee-d-un-ravageur-du-mais-la-chrysomele-dans-le-canton-de-vaud.htmlwww.agroscope.admin.ch/agroscope/fr/home/themes/production-vegetale/protection-vegetaux/service-phytosanitaire-agros-cope/quarantaeneorganismen/chrysomele-des-racines-du-maïs.html	chemin trop long (268 > 240): data/www.rts.ch/info/sciences-tech/8909231-arrivee-d-un-ravageur-du-mais-la-chrysomele-dans-le-canton-de-vaud.htmlwww.agroscope.admin.ch/agroscope/fr/home/themes/production-vegetale/protection-vegetaux/service-phytosanitaire-agros-cope/quarantaeneorganismen
